[2025-05-14T15:58:20.669+0800][1.085s][901][902][trace] Restored [Ljava.io.Serializable; archived mirror 0x00000007fef146d8
[2025-05-14T15:58:20.670+0800][1.085s][901][902][debug] Clearing root 314: was 0x00000007fef08e30
[2025-05-14T15:58:20.670+0800][1.085s][901][902][trace] Restored java.lang.Comparable archived mirror 0x00000007fef08e30
[2025-05-14T15:58:20.670+0800][1.085s][901][902][debug] Clearing root 747: was 0x00000007fef14898
[2025-05-14T15:58:20.670+0800][1.085s][901][902][trace] Restored [Ljava.lang.Comparable; archived mirror 0x00000007fef14898
[2025-05-14T15:58:20.670+0800][1.085s][901][902][debug] Clearing root 96: was 0x00000007fef02998
[2025-05-14T15:58:20.670+0800][1.086s][901][902][trace] Restored java.lang.CharSequence archived mirror 0x00000007fef02998
[2025-05-14T15:58:20.670+0800][1.086s][901][902][debug] Clearing root 317: was 0x00000007fef08f80
[2025-05-14T15:58:20.670+0800][1.086s][901][902][trace] Restored [Ljava.lang.CharSequence; archived mirror 0x00000007fef08f80
[2025-05-14T15:58:20.670+0800][1.086s][901][902][debug] Clearing root 315: was 0x00000007fef08ea0
[2025-05-14T15:58:20.670+0800][1.086s][901][902][trace] Restored java.lang.constant.Constable archived mirror 0x00000007fef08ea0
[2025-05-14T15:58:20.671+0800][1.086s][901][902][debug] Clearing root 738: was 0x00000007fef144a8
[2025-05-14T15:58:20.671+0800][1.086s][901][902][trace] Restored [Ljava.lang.constant.Constable; archived mirror 0x00000007fef144a8
[2025-05-14T15:58:20.671+0800][1.086s][901][902][debug] Clearing root 316: was 0x00000007fef08f10
[2025-05-14T15:58:20.671+0800][1.086s][901][902][trace] Restored java.lang.constant.ConstantDesc archived mirror 0x00000007fef08f10
[2025-05-14T15:58:20.671+0800][1.087s][901][902][debug] Clearing root 752: was 0x00000007fef14ac8
[2025-05-14T15:58:20.671+0800][1.087s][901][902][trace] Restored [Ljava.lang.constant.ConstantDesc; archived mirror 0x00000007fef14ac8
[2025-05-14T15:58:20.671+0800][1.087s][901][902][debug] Clearing root 25: was 0x00000007fef00cd0
[2025-05-14T15:58:20.671+0800][1.087s][901][902][trace] Restored java.lang.String archived mirror 0x00000007fef00cd0
[2025-05-14T15:58:20.671+0800][1.087s][901][902][debug] Clearing root 246: was 0x00000007fef06b00
[2025-05-14T15:58:20.672+0800][1.087s][901][902][trace] Restored [Ljava.lang.String; archived mirror 0x00000007fef06b00
[2025-05-14T15:58:20.672+0800][1.087s][901][902][debug] Clearing root 374: was 0x00000007fef0a950
[2025-05-14T15:58:20.672+0800][1.087s][901][902][trace] Restored java.lang.reflect.AnnotatedElement archived mirror 0x00000007fef0a950
[2025-05-14T15:58:20.672+0800][1.087s][901][902][debug] Clearing root 741: was 0x00000007fef145f8
[2025-05-14T15:58:20.672+0800][1.087s][901][902][trace] Restored [Ljava.lang.reflect.AnnotatedElement; archived mirror 0x00000007fef145f8
[2025-05-14T15:58:20.672+0800][1.088s][901][902][debug] Clearing root 364: was 0x00000007fef0a4c0
[2025-05-14T15:58:20.672+0800][1.088s][901][902][trace] Restored java.lang.reflect.GenericDeclaration archived mirror 0x00000007fef0a4c0
[2025-05-14T15:58:20.672+0800][1.088s][901][902][debug] Clearing root 742: was 0x00000007fef14668
[2025-05-14T15:58:20.672+0800][1.088s][901][902][trace] Restored [Ljava.lang.reflect.GenericDeclaration; archived mirror 0x00000007fef14668
